"","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred"
"13",0,0,0,0,1,0,0,0,NA,NA,25,NA
"17",1,0,0,0,1,0,0,0,15,NA,50,NA
"19",1,1,0,1,0,0,0,0,25,100,17,NA
"20",0,1,0,1,0,0,0,0,100,100,0,0
"21",1,0,0,0,1,0,1,1,30,NA,30,80
"22",1,0,1,0,1,0,0,1,100,100,70,30
"24",1,0,0,0,1,0,0,0,15,0,50,0
"26",1,0,1,0,1,0,1,0,30,100,20,20
"3",0,1,0,0,1,0,0,1,60,0,20,30
"30",1,1,0,1,1,0,0,1,40,30,40,20
"31",0,1,0,0,0,0,0,0,25,0,NA,0
"33",1,0,0,0,1,0,1,1,22.5,0,50,16.5
"34",0,1,0,0,1,0,0,1,40,NA,1,1
"36",0,1,0,0,1,0,1,1,50,NA,30,50
"37",0,0,0,0,1,0,0,1,NA,NA,30,NA
"38",1,1,0,1,1,0,0,0,40,100,0,0
"40",0,1,0,0,0,0,1,1,100,NA,NA,75
"42",0,1,0,0,0,0,0,1,100,NA,NA,25
"43",1,0,0,0,1,0,0,0,20,NA,25,NA
"45",1,1,0,0,0,0,1,1,10,NA,0,20
"5",0,1,0,1,0,1,0,0,100,100,20,0
"50",1,0,0,0,1,0,1,0,NA,NA,NA,NA
"51",1,1,0,0,1,0,0,1,40,NA,20,40
"8",0,0,0,0,1,0,1,1,NA,0,33,50
"9",1,1,0,1,0,1,1,1,100,100,16.5,62.5
